Ward,Precinct,Total Votes,Pritzker,JBP%,Rauner,BR%,Jackson,GKJ%,McCann,SM%,Registered_Voters,Ballots Cast,Turnout %
46,18,644.00,516.00,80.12,101.00,15.68,15.00,2.33,12.00,1.86,904.00,650.00,71.90
46,19,422.00,344.00,81.52,70.00,16.59,6.00,1.42,2.00,0.47,515.00,428.00,83.11
46,20,475.00,416.00,87.58,48.00,10.11,9.00,1.89,2.00,0.42,708.00,492.00,69.49
46,21,398.00,336.00,84.42,51.00,12.81,11.00,2.76,0.00,0.00,698.00,416.00,59.60
46,22,449.00,378.00,84.19,43.00,9.58,18.00,4.01,10.00,2.23,757.00,459.00,60.63
46,23,461.00,416.00,90.24,29.00,6.29,11.00,2.39,5.00,1.08,695.00,472.00,67.91
46,24,695.00,577.00,83.02,102.00,14.68,10.00,1.44,6.00,0.86,820.00,700.00,85.37
46,25,553.00,494.00,89.33,39.00,7.05,14.00,2.53,6.00,1.08,758.00,560.00,73.88
46,26,663.00,594.00,89.59,50.00,7.54,16.00,2.41,3.00,0.45,831.00,674.00,81.11
46,27,773.00,648.00,83.83,95.00,12.29,24.00,3.10,6.00,0.78,946.00,784.00,82.88
46,28,583.00,464.00,79.59,102.00,17.50,8.00,1.37,9.00,1.54,694.00,591.00,85.16
46,29,503.00,415.00,82.50,71.00,14.12,10.00,1.99,7.00,1.39,683.00,515.00,75.40
46,30,623.00,535.00,85.87,66.00,10.59,15.00,2.41,7.00,1.12,787.00,644.00,81.83
46,31,593.00,516.00,87.02,60.00,10.12,14.00,2.36,3.00,0.51,741.00,602.00,81.24
46,32,610.00,523.00,85.74,66.00,10.82,17.00,2.79,4.00,0.66,898.00,629.00,70.04
46,33,690.00,562.00,81.45,110.00,15.94,14.00,2.03,4.00,0.58,805.00,705.00,87.58
46,34,686.00,592.00,86.30,75.00,10.93,16.00,2.33,3.00,0.44,960.00,700.00,72.92
46,35,668.00,582.00,87.13,68.00,10.18,15.00,2.25,3.00,0.45,902.00,679.00,75.28
46,36,584.00,447.00,76.54,113.00,19.35,12.00,2.05,12.00,2.05,690.00,594.00,86.09
46,37,535.00,462.00,86.36,56.00,10.47,13.00,2.43,4.00,0.75,816.00,555.00,68.01
46,38,625.00,548.00,87.68,58.00,9.28,14.00,2.24,5.00,0.80,875.00,634.00,72.46
46,39,598.00,471.00,78.76,110.00,18.39,14.00,2.34,3.00,0.50,741.00,602.00,81.24
46,40,482.00,403.00,83.61,57.00,11.83,18.00,3.73,4.00,0.83,669.00,501.00,74.89
47,1,417.00,324.00,77.70,78.00,18.71,8.00,1.92,7.00,1.68,495.00,420.00,84.85
47,2,626.00,468.00,74.76,149.00,23.80,7.00,1.12,2.00,0.32,781.00,637.00,81.56
47,3,574.00,429.00,74.74,126.00,21.95,10.00,1.74,9.00,1.57,763.00,599.00,78.51
47,4,676.00,518.00,76.63,136.00,20.12,14.00,2.07,8.00,1.18,834.00,679.00,81.41
47,5,653.00,543.00,83.15,89.00,13.63,19.00,2.91,2.00,0.31,825.00,663.00,80.36
47,6,738.00,590.00,79.95,127.00,17.21,20.00,2.71,1.00,0.14,910.00,746.00,81.98
47,7,546.00,428.00,78.39,102.00,18.68,9.00,1.65,7.00,1.28,753.00,556.00,73.84
47,8,589.00,448.00,76.06,119.00,20.20,15.00,2.55,7.00,1.19,759.00,603.00,79.45
47,9,585.00,443.00,75.73,120.00,20.51,16.00,2.74,6.00,1.03,761.00,592.00,77.79
47,10,764.00,656.00,85.86,75.00,9.82,26.00,3.40,7.00,0.92,919.00,769.00,83.68
